NODE_NAME            ASN        POD_NAME                                               
----------------------------------------------------------------------------------------
seed-k3s-master      AS1277     as1277brd-r10-1.10.4.253-6cc9656885-97xzr              
seed-k3s-master      AS1277     as1277brd-r108-1.108.4.253-7cf66d7dcb-c6tsx            
seed-k3s-master      AS1277     as1277brd-r113-1.113.4.253-5c89867969-5q6zk            
seed-k3s-master      AS1277     as1277brd-r12-1.12.4.253-59b77bf854-jmml5              
seed-k3s-master      AS1277     as1277brd-r122-1.122.4.253-78fc48d6d-v2ffg             
seed-k3s-master      AS1277     as1277brd-r125-1.125.4.253-668678575c-h9xhb            
seed-k3s-master      AS1277     as1277brd-r126-1.126.4.253-84796f5747-p74sr            
seed-k3s-master      AS1277     as1277brd-r127-1.127.4.253-d7ff4fbc-x6nh7              
seed-k3s-master      AS1277     as1277brd-r128-1.128.4.253-85b8b69887-5rcjj            
seed-k3s-master      AS1277     as1277brd-r129-1.129.4.253-7ff759f767-9zxnp            
seed-k3s-master      AS1277     as1277brd-r13-1.13.4.253-f4677bfb5-97vz7               
seed-k3s-master      AS1277     as1277brd-r135-1.135.4.253-5f9b6b844f-nw2fs            
seed-k3s-master      AS1277     as1277brd-r14-1.14.4.253-66dfcc7954-m6dj9              
seed-k3s-master      AS1277     as1277brd-r147-1.147.4.253-56889b77b8-zzxc5            
seed-k3s-master      AS1277     as1277brd-r158-1.158.4.253-868dd479d7-rctt5            
seed-k3s-master      AS1277     as1277brd-r16-1.16.4.253-5c5c7789f8-gtmcq              
seed-k3s-master      AS1277     as1277brd-r167-1.167.4.253-7d858bd944-cfxjd            
seed-k3s-master      AS1277     as1277brd-r171-1.171.4.253-5df4f4fc5c-j8lkl            
seed-k3s-master      AS1277     as1277brd-r17-1.17.4.253-5f45798957-cd552              
seed-k3s-master      AS1277     as1277brd-r18-1.18.4.253-74b5bc4585-tmx7l              
seed-k3s-master      AS1277     as1277brd-r189-1.189.4.253-646b946568-4f2ns            
seed-k3s-master      AS1277     as1277brd-r190-1.190.4.253-6bb65b9d8f-h5q8t            
seed-k3s-master      AS1277     as1277brd-r19-1.19.4.253-6bb99bdbf4-cp45c              
seed-k3s-master      AS1277     as1277brd-r20-1.20.4.253-6ccfccc9b4-8ph64              
seed-k3s-master      AS1277     as1277brd-r21-1.21.4.253-6497d5495c-fjddt              
seed-k3s-master      AS1277     as1277brd-r2-1.2.4.253-d8dbcfddd-4wfs8                 
seed-k3s-master      AS1277     as1277brd-r219-1.219.4.253-7b85c858f6-6ssq8            
seed-k3s-master      AS1277     as1277brd-r221-1.221.4.253-6ddd576cb-26fwb             
seed-k3s-master      AS1277     as1277brd-r22-1.22.4.253-5b98887f4f-d5vbk              
seed-k3s-master      AS1277     as1277brd-r227-1.227.4.253-54dcd4fc58-t9rnk            
seed-k3s-master      AS1277     as1277brd-r23-1.23.4.253-7fdd88785-snnvj               
seed-k3s-master      AS1277     as1277brd-r237-1.237.4.253-85d5ffd544-w5w24            
seed-k3s-master      AS1277     as1277brd-r24-1.24.4.253-77569bfb8f-ds245              
seed-k3s-master      AS1277     as1277brd-r25-1.25.4.253-55bd87f98f-8snnd              
seed-k3s-master      AS1277     as1277brd-r259-2.3.4.253-fdb79b756-gkwl6               
seed-k3s-master      AS1277     as1277brd-r26-1.26.4.253-64b47485db-748b8              
seed-k3s-master      AS1277     as1277brd-r28-1.28.4.253-795cffb98b-lztb4              
seed-k3s-master      AS1277     as1277brd-r29-1.29.4.253-76bbb76864-pnstz              
seed-k3s-master      AS1277     as1277brd-r296-2.40.4.253-69c6995c44-vk7tz             
seed-k3s-master      AS1277     as1277brd-r300-2.44.4.253-b7b489bbd-6p7pw              
seed-k3s-master      AS1277     as1277brd-r30-1.30.4.253-6c74fccf5d-2rfm5              
seed-k3s-master      AS1277     as1277brd-r31-1.31.4.253-9488495bf-569zv               
seed-k3s-master      AS1277     as1277brd-r3-1.3.4.253-857898458c-rbzk6                
seed-k3s-master      AS1277     as1277brd-r314-2.58.4.253-5dfc7445b7-nxv5g             
seed-k3s-master      AS1277     as1277brd-r32-1.32.4.253-795cfbbdbf-2cdpq              
seed-k3s-master      AS1277     as1277brd-r33-1.33.4.253-b5cc7b6d5-x96cf               
seed-k3s-master      AS1277     as1277brd-r34-1.34.4.253-794758d777-zkr55              
seed-k3s-master      AS1277     as1277brd-r344-2.88.4.253-59c9b5f9f7-brg29             
seed-k3s-master      AS1277     as1277brd-r345-2.89.4.253-69cb97cb5c-xc5rf             
seed-k3s-master      AS1277     as1277brd-r346-2.90.4.253-5664f8d7b-x7wzv              
seed-k3s-master      AS1277     as1277brd-r347-2.91.4.253-559cd9dfb9-lmhlw             
seed-k3s-master      AS1277     as1277brd-r35-1.35.4.253-65ff4ddc5c-8fg99              
seed-k3s-master      AS1277     as1277brd-r36-1.36.4.253-68ffc9bb6f-h5f9l              
seed-k3s-master      AS1277     as1277brd-r37-1.37.4.253-58cb864869-5c822              
seed-k3s-master      AS1277     as1277brd-r38-1.38.4.253-6466f78cdf-xbc45              
seed-k3s-master      AS1277     as1277brd-r39-1.39.4.253-578f5c9f9d-xgtz2              
seed-k3s-master      AS1277     as1277brd-r40-1.40.4.253-858dccc8cb-h7g5n              
seed-k3s-master      AS1277     as1277brd-r41-1.41.4.253-7dd7fbd4f7-xrth9              
seed-k3s-master      AS1277     as1277brd-r4-1.4.4.253-95b8c448c-pz5pv                 
seed-k3s-master      AS1277     as1277brd-r42-1.42.4.253-5797c85dfc-9tmqq              
seed-k3s-master      AS1277     as1277brd-r43-1.43.4.253-74587f8dcc-blt4q              
seed-k3s-master      AS1277     as1277brd-r44-1.44.4.253-5599868fc7-hvskf              
seed-k3s-master      AS1277     as1277brd-r45-1.45.4.253-77f665b45b-s7jlz              
seed-k3s-master      AS1277     as1277brd-r50-1.50.4.253-7bc8684bd6-p9s9g              
seed-k3s-master      AS1277     as1277brd-r51-1.51.4.253-f9f67b877-dv6fj               
seed-k3s-master      AS1277     as1277brd-r5-1.5.4.253-75f98bf5ff-7b6df                
seed-k3s-master      AS1277     as1277brd-r52-1.52.4.253-7d88d9f48c-pjbqx              
seed-k3s-master      AS1277     as1277brd-r55-1.55.4.253-7496b68cbf-4hdwl              
seed-k3s-master      AS1277     as1277brd-r58-1.58.4.253-5c8545fc5-bfs7b               
seed-k3s-master      AS1277     as1277brd-r60-1.60.4.253-7f68968867-pwzpv              
seed-k3s-master      AS1277     as1277brd-r61-1.61.4.253-7484766889-zzht5              
seed-k3s-master      AS1277     as1277brd-r6-1.6.4.253-b6d8784c9-x6w8t                 
seed-k3s-master      AS1277     as1277brd-r62-1.62.4.253-789df7bff7-zph9c              
seed-k3s-master      AS1277     as1277brd-r63-1.63.4.253-76d49d7949-t8szh              
seed-k3s-master      AS1277     as1277brd-r68-1.68.4.253-b6d4d46d7-xblq7               
seed-k3s-master      AS1277     as1277brd-r70-1.70.4.253-5d6977c845-btptt              
seed-k3s-master      AS1277     as1277brd-r71-1.71.4.253-5ff7d6989b-pm7dj              
seed-k3s-master      AS1277     as1277brd-r7-1.7.4.253-757b6d9df5-jh2k9                
seed-k3s-master      AS1277     as1277brd-r73-1.73.4.253-859968bb97-5j7rq              
seed-k3s-master      AS1277     as1277brd-r75-1.75.4.253-68bbcc8656-g2c45              
seed-k3s-master      AS1277     as1277brd-r8-1.8.4.253-7dff5cf95f-shn8w                
seed-k3s-master      AS1277     as1277brd-r83-1.83.4.253-6b5c99f784-7k5j5              
seed-k3s-master      AS1277     as1277brd-r9-1.9.4.253-5984cf5bb6-xj48z                
seed-k3s-master      AS1277     as1277brd-r94-1.94.4.253-b6bfd4fff-5t4zj               
seed-k3s-master      AS1277     as1277brd-r96-1.96.4.253-6b5676cb9b-z2ldr              
seed-k3s-master      AS1277     as1277brd-r99-1.99.4.253-77cf69787c-qggjl              
seed-k3s-worker1     AS22       as22brd-ix22-1.22.0.22-68bd749f4d-kmj7d                
seed-k3s-worker1     AS24       as24brd-ix24-1.24.0.24-764c68c764-vvjx7                
seed-k3s-worker1     AS26       as26brd-ix26-1.26.0.26-84969f655b-65vb2                
seed-k3s-worker1     AS29       as29brd-ix29-1.29.0.29-b7897b84-f7dk8                  
seed-k3s-worker1     AS31       as31brd-ix31-1.31.0.31-8588b5cb8d-9qbqd                
seed-k3s-worker1     AS33       as33brd-ix33-1.33.0.33-7448978c56-g8pm9                
seed-k3s-worker1     AS35       as35brd-ix35-1.35.0.35-5994f76bdd-tbbng                
seed-k3s-worker1     AS37       as37brd-ix37-1.37.0.37-78c96944dd-vcd4n                
seed-k3s-worker1     AS39       as39brd-ix39-1.39.0.39-d4c7d48d-xhc6l                  
seed-k3s-worker1     AS41       as41brd-ix41-1.41.0.41-57759d6844-lp6xc                
seed-k3s-worker1     AS43       as43brd-ix43-1.43.0.43-5695fc96cb-7cdp5                
seed-k3s-worker1     AS45       as45brd-ix45-1.45.0.45-784dd8696d-cbgmf                
seed-k3s-worker1     AS51       as51brd-ix51-1.51.0.51-5ccfd6bdc6-zpdl4                
seed-k3s-worker1     AS55       as55brd-ix55-1.55.0.55-55bbd8688d-5mhng                
seed-k3s-worker1     AS60       as60brd-ix60-1.60.0.60-7544fd86d4-p6tgw                
seed-k3s-worker1     AS62       as62brd-ix62-1.62.0.62-8b75fbf44-sbf8s                 
seed-k3s-worker1     AS68       as68brd-ix68-1.68.0.68-76568b7764-xsb9h                
seed-k3s-worker1     AS71       as71brd-ix71-1.71.0.71-b9689bd4d-qmq9h                 
seed-k3s-worker1     AS74       as74brd-ix74-1.74.0.74-8489b689c6-zlt5q                
seed-k3s-worker1     AS83       as83brd-ix83-1.83.0.83-579f74c75b-p9kpr                
